symptoms,condition
I have pain when lying on affected side.,Rotator cuff injury
I have pain in shoulder and weakness in shoulder.,Rotator cuff injury
I have pain when lying on affected side and weakness in shoulder.,Rotator cuff injury
I have weakness in shoulder and pain in shoulder.,Rotator cuff injury
I have pain in shoulder.,Rotator cuff injury
I have difficulty lifting arm and pain in shoulder.,Rotator cuff injury
I have pain when lying on affected side.,Rotator cuff injury
I have difficulty lifting arm.,Rotator cuff injury
I have pain when lying on affected side and difficulty lifting arm and pain in shoulder and weakness in shoulder.,Rotator cuff injury
I have weakness in shoulder.,Rotator cuff injury
I have weakness in shoulder and pain when lying on affected side and pain in shoulder and difficulty lifting arm.,Rotator cuff injury
I have weakness in shoulder and pain when lying on affected side and pain in shoulder and difficulty lifting arm.,Rotator cuff injury
I have pain when lying on affected side.,Rotator cuff injury
I have pain in shoulder and difficulty lifting arm and pain when lying on affected side.,Rotator cuff injury
I have pain when lying on affected side and pain in shoulder.,Rotator cuff injury
I have difficulty lifting arm.,Rotator cuff injury
I have weakness in shoulder and pain in shoulder and pain when lying on affected side and difficulty lifting arm.,Rotator cuff injury
I have pain in shoulder and weakness in shoulder and difficulty lifting arm.,Rotator cuff injury
I have weakness in shoulder and pain in shoulder and difficulty lifting arm.,Rotator cuff injury
I have difficulty lifting arm and pain when lying on affected side and weakness in shoulder and pain in shoulder.,Rotator cuff injury
I have pain when climbing stairs and pain when lying on affected side and pain in hip.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side and pain in hip.,Hip bursitis
I have swelling in hip and pain in hip.,Hip bursitis
I have pain when lying on affected side and pain when climbing stairs and swelling in hip and pain in hip.,Hip bursitis
I have pain when lying on affected side and swelling in hip and pain when climbing stairs.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain in hip and swelling in hip and pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side and pain in hip.,Hip bursitis
I have pain when climbing stairs.,Hip bursitis
I have swelling in hip and pain when climbing stairs and pain in hip.,Hip bursitis
I have pain when climbing stairs and swelling in hip and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain in hip and swelling in hip.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have swelling in hip and pain in hip and pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have pain in hip.,Hip bursitis
I have pain in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and swelling in hip and pain in hip.,Hip bursitis
I have swelling in hip and pain when lying on affected side and pain when climbing stairs and pain in hip.,Hip bursitis
I have pain when lying on affected side and swelling in hip and pain when climbing stairs and pain in hip.,Hip bursitis
I have pain in hip and pain when climbing stairs and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain in hip and pain when climbing stairs and swelling in hip and pain when lying on affected side.,Hip bursitis
I have pain when lying on affected side.,Hip bursitis
I have pain in hip and swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when lying on affected side and swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when climbing stairs and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain in hip and swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain when climbing stairs and swelling in hip and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain in hip and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain in hip and swelling in hip and pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have swelling in hip and pain in hip and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and swelling in hip.,Hip bursitis
I have pain when lying on affected side and pain in hip.,Hip bursitis
I have pain when lying on affected side and pain in hip.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have pain when lying on affected side and swelling in hip and pain when climbing stairs and pain in hip.,Hip bursitis
I have swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when climbing stairs.,Hip bursitis
I have pain when lying on affected side and swelling in hip and pain in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and swelling in hip.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have pain when lying on affected side and pain when climbing stairs.,Hip bursitis
I have pain when lying on affected side and swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when climbing stairs and swelling in hip and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain in hip and swelling in hip and pain when lying on affected side.,Hip bursitis
I have pain when lying on affected side and pain in hip.,Hip bursitis
I have pain when climbing stairs and pain in hip.,Hip bursitis
I have swelling in hip and pain in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and pain when lying on affected side.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain when lying on affected side.,Hip bursitis
I have pain in hip.,Hip bursitis
I have pain when lying on affected side and pain when climbing stairs and pain in hip and swelling in hip.,Hip bursitis
I have pain when climbing stairs.,Hip bursitis
I have pain when climbing stairs and swelling in hip and pain in hip.,Hip bursitis
I have pain when climbing stairs.,Hip bursitis
I have pain when lying on affected side and pain when climbing stairs and swelling in hip and pain in hip.,Hip bursitis
I have pain in hip and pain when climbing stairs and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain when lying on affected side and pain in hip.,Hip bursitis
I have pain when climbing stairs and swelling in hip and pain when lying on affected side and pain in hip.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have swelling in hip and pain when climbing stairs and pain in hip and pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain in hip and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and pain in hip and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain when lying on affected side and swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip.,Hip bursitis
I have pain in hip.,Hip bursitis
I have pain when climbing stairs and pain in hip.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have pain in hip and swelling in hip and pain when lying on affected side and pain when climbing stairs.,Hip bursitis
I have pain when lying on affected side.,Hip bursitis
I have pain when lying on affected side and pain in hip.,Hip bursitis
I have pain in hip and pain when lying on affected side and pain when climbing stairs and swelling in hip.,Hip bursitis
I have pain when climbing stairs and pain in hip and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have pain when lying on affected side.,Hip bursitis
I have pain when climbing stairs and swelling in hip.,Hip bursitis
I have swelling in hip and pain when climbing stairs and pain in hip.,Hip bursitis
I have pain when lying on affected side and pain when climbing stairs.,Hip bursitis
I have swelling in hip.,Hip bursitis
I have pain when climbing stairs and pain in hip and pain when lying on affected side and swelling in hip.,Hip bursitis
I have pain when climbing stairs and pain in hip and pain when lying on affected side.,Hip bursitis
I have swelling in hip and pain in hip and pain when climbing stairs and pain when lying on affected side.,Hip bursitis
I have pain in hip and pain when lying on affected side and pain when climbing stairs.,Hip bursitis
I have pain when lying on affected side and pain in hip and swelling in hip and pain when climbing stairs.,Hip bursitis
I have pain in hip and swelling in hip.,Hip bursitis
I have swelling in hip and pain in hip.,Hip bursitis
I have pain in hip and pain when lying on affected side and pain when climbing stairs.,Hip bursitis
I have pain in hip and swelling in hip.,Hip bursitis
I have pain in hip.,Hip bursitis
I have swelling in hip and pain in hip and pain when climbing stairs.,Hip bursitis
I have pain when climbing stairs.,Hip bursitis
I have swelling in hip and pain when climbing stairs.,Hip bursitis
